anamnesis,disease
"Здравствуйте, я пришел на прием, потому что я не чувствую себя хорошо. У меня болит горло, слабость и повышенная температура. Я также заметил небольшой отек на задней части горла. Но у меня нет кашля или заложенности носа. Симптомы начали проявляться пару дней назад и постепенно усиливались. Я ранее не сталкивался с такими проблемами, но у меня есть хроническая болезнь - гастрит. Было бы здорово выяснить, что со мной происходит, и возможно назначить лечение.",цистит
"Добрый день, я чувствую себя очень плохо. Началось все с высокой температуры, головной боли и общей слабости. Потом появились кашель и насморк. Кожная сыпь тоже появилась, она начала распространяться сначала на лице, а затем по всему телу. Но боль в горле и боли в суставах у меня не было. Первые симптомы появились около недели назад. Состояние ухудшалось постепенно, особенно в последние дни. У меня нет хронических заболеваний, но у моей сестры была корь, если это важно.",тахикардия
"Здравствуйте, я пришел на прием, потому что не чувствую себя хорошо. У меня было тошнота, головокружение и слабость в левой руке и ноге. Я не знаю, что со мной происходит, но это меня очень беспокоит. Начало проявляться все внезапно, я даже не ожидал такого состояния. Прогрессирование симптомов произошло достаточно быстро, в течение нескольких часов. У меня нет хронических заболеваний, но я слышал, что инсульт может быть связан с повышенным давлением и курением. Я очень волнуюсь, что со мной происходит, но надеюсь, что мне помогут разобраться.",отит
"Здравствуйте, я пришел на прием, потому что меня немного беспокоят проблемы со здоровьем. Я чувствую себя несколько напряженно и неуверенно, иногда сердце бьется сильнее, чем обычно. Примечательно, что я не страдаю от головокружения или болей в груди, и у меня нет проблем с дыханием или глазами. Я заметил эти симптомы уже некоторое время назад, но недавно они стали проявляться чаще, и я решил обратиться к врачу. Я не страдаю от хронических заболеваний, но у меня есть история сердечных проблем в моей семье. Я надеюсь, что вы сможете помочь мне выяснить, что происходит. Спасибо.",анемия
"Здравствуйте, я пришел на прием, потому что в последнее время чувствую себя не очень хорошо. Часто бывает тошнота и желание рваться, а когда пытаюсь что-то съесть, то чувствую боль в желудке и отрыжку. Также заметил, что последнее время стало труднее переносить жирную и острую пищу. Была небольшая повышенная температура и ломота в теле. Сразу скажу, что я не страдаю от кашля, боли в голове и болезненного мочеиспускания. Симптомы начали проявляться около двух недель назад, и с тех пор они стали все более усиливаться. У меня нет хронических заболеваний, которые могут быть связаны с этими симптомами.",гастрит
"Здравствуйте, я пришел на прием, потому что мне нехорошо. Я чувствую сильный дискомфорт и жжение при мочеиспускании, а также часто тошнит. Эти симптомы начали проявляться пару дней назад, и с тех пор только усиливаются. У меня не было повышенной температуры тела или болей в животе. Я не страдаю хроническими заболеваниями, но я беспокоюсь, что мое состояние может прогрессировать.",инсульт
"Мне не очень хорошо. Я чувствую слабость в правой стороне тела и головокружение. У меня есть проблемы с речью - я не могу говорить правильно. Я не могу сказать, когда первые симптомы появились, потому что я проснулся с этим состоянием. Я не заметил никаких других симптомов, кроме тех, что я уже описал. Я не хочу гадать, что у меня может быть, но у меня нет хронических заболеваний, которые могут быть связаны с этим. Я очень надеюсь, что вы сможете мне помочь.",ангина
"Здравствуйте, я не чувствую себя хорошо. У меня начали появляться сыпь и кашель, и я чувствую слабость. Симптомы появились несколько дней назад, и с тех пор они только усиливаются. Я не сталкивался с такими симптомами раньше, и я не знаю, что может быть причиной. У меня нет никаких хронических заболеваний, которые могут быть связаны с моим состоянием. Я надеюсь, что вы сможете мне помочь определить, что происходит со мной.",корь
"Здравствуйте, я чувствую себя не очень хорошо. У меня болит живот и часто возникает тошнота. Я также заметил, что у меня есть небольшая боль в груди и иногда появляется изжога. У меня не было рвоты или кровавых примесей в стуле. Симптомы начали появляться несколько недель назад, и они постепенно усиливались. Я раньше страдал хроническими заболеваниями желудка, но давно не обращал на это внимание. Что может быть причиной моих проблем?",ветрянка
"Здравствуйте, я пришел на прием, так как не чувствую себя хорошо. У меня болит горло, есть трудности при глотании, а также чувствую себя слабо и устало. Эти симптомы начали проявляться пару дней назад и с каждым днем становится все хуже. Я не замечал наличие каких-либо других симптомов, кроме указанных. У меня нет хронических заболеваний, но я понимаю, что ангина может быть связана с другими проблемами здоровья. Буду рад, если вы мне поможете разобраться в моем состоянии.",цистит
"Здравствуйте, я чувствую дискомфорт в ухе, оно болит и часто появляется жгучая боль. Я заметил, что у меня немного повысилась температура тела, и я чувствую слабость. Я начал замечать первые симптомы несколько дней назад, но они усиливались с каждым днем. У меня нет таких симптомов, как головокружение или нарушение координации движений. Кроме того, у меня есть хроническое заболевание дыхательных путей, которое может быть связано с моим текущим состоянием. Буду рад, если вы сможете мне помочь выяснить, что происходит.",тахикардия
"Здравствуйте, я не чувствую себя совсем хорошо. Началось все с легкой слабости и болью в горле. Позже появилась высокая температура, головная боль и сильная боль в мышцах. Я заметил, что на моем теле появились мелкие пузырьки, которые очень сильно зудят. Кашель у меня не было, и я не испытывал проблем с дыханием. Я начал замечать эти симптомы около недели назад, и они стали хуже с каждым днем. К сожалению, я не могу позволить себе болеть, так как у меня есть хроническое заболевание, связанное с иммунной системой. Я надеюсь, что вы сможете мне помочь выяснить, что со мной происходит.",отит
"Здравствуйте, я пришел на первичный прием. Я чувствую себя очень усталым и часто испытываю слабость. Иногда мне кажется, что у меня нет сил вообще ни на что. Я заметил, что моя кожа стала бледной и я чувствую одышку даже при незначительной физической нагрузке. Я не испытываю головокружений или тошноты. Я начал замечать эти симптомы несколько месяцев назад, но они постепенно усиливались. У меня нет других хронических заболеваний, но я знаю, что анемия может быть связана с некоторыми проблемами здоровья. Я надеюсь, что вы сможете мне помочь выяснить, что со мной происходит.",анемия
"Здравствуйте, доктор. Я себя чувствую не очень хорошо. У меня бывает боль и жжение при мочеиспускании, а также частое позывание к туалету. Симптомы начали проявляться несколько дней назад и постепенно ухудшались. Я не заметил других симптомов, кроме этих. У меня нет хронических заболеваний, которые могут быть связаны с этим. Я надеюсь на вашу помощь.",инсульт
"Здравствуйте, я не чувствую себя совсем хорошо. У меня болит горло, температура поднялась, аппетит пропал. Я заметил, что мои миндалины красные и опухшие, затруднено глотание. У меня не было кашля или насморка. Симптомы начали появляться пару дней назад и с тех пор только ухудшаются. Я ранее сталкивался с проблемами горла, но это происходило не так часто.",ангина
"Здравствуйте, я чувствую себя не очень хорошо. У меня болит живот и я испытываю дискомфорт после еды. Иногда у меня бывает изжога и тошнота. Я не замечал каких-либо кровяных примесей в стуле или тошноту с кровью. Эти симптомы начали появляться несколько недель назад и постепенно усиливались. У меня нет других хронических заболеваний, которые могут быть связаны с этими симптомами.",корь
"Здравствуйте, я себя не очень хорошо чувствую. У меня часто начинает биться сердце очень быстро. Я ощущаю сильный пульс и дискомфорт в груди. Также у меня бывает головокружение и одышка. Я не заметил никаких других симптомов, кроме этих. Я заметил это около месяца назад и с тех пор моё состояние не улучшается, скорее наоборот - становится хуже. У меня нет хронических заболеваний, которые могут быть связаны с этой проблемой.",ветрянка
"Здравствуйте, я несколько дней чувствую себя не очень хорошо. У меня появилась высокая температура, головная боль и сильное слабость. Также на теле появились красные пятна и мелкие везикулы, которые начали зудеть и болеть. Я не заметил у себя никаких других симптомов, но сейчас мое состояние стало хуже, чем несколько дней назад. Я никогда раньше не болел чем-то подобным. Вот, что я могу рассказать о своем состоянии.",цистит
"Здравствуйте, я пришел на первичный прием. Я чувствую дискомфорт в ухе, оно болит и иногда становится сложно слышать. Симптомы начали проявляться несколько дней назад и со временем только усилились. Но у меня нет лихорадки или похожих симптомов на простуду. У меня нет хронических заболеваний, но я думаю, что мое текущее состояние может быть связано с моей аллергией на пыль. Я бы хотел пройти обследование, чтобы понять, что мне делать дальше.",тахикардия
"Здравствуйте, я пришел на прием, потому что не чувствую себя хорошо. Сначала у меня появилось слабость и головная боль, а затем начали появляться высыпания на коже, которые чешутся. Я также заметил, что у меня повысилась температура тела. Но у меня нет кашля и заложенности носа. Симптомы начали проявляться несколько дней назад и, к сожалению, не улучшаются. Я раньше не сталкивался с такими симптомами, но у меня есть хроническая болезнь, связанная с желудком. Я бы хотел узнать, что мне нужно делать, чтобы поскорее поправить свое состояние. Спасибо.",отит
"Здравствуйте, я чувствую себя довольно усталым и слабым в последнее время. Заметил, что у меня снизилась работоспособность, появилась одышка и сердцебиение даже при малой физической нагрузке. Я также заметил, что моя кожа стала бледнее, чем обычно. Я не испытываю боли или дискомфорта, но чувствую, что мое состояние не совсем обычное. Симптомов, связанных с желудком или кишечником, у меня не было. Впервые я почувствовал это около месяца назад, но состояние плохо улучшается. У меня нет хронических заболеваний, которые могли бы быть связаны с моим состоянием.",анемия
"Добрый день, я себя чувствую не очень хорошо. Начал замечать, что у меня есть проблемы с речью, я стал запинаться и не могу нормально выговаривать слова. Также у меня возникли проблемы с координацией движений, я не могу ходить прямо и точно поставить ноги. Чувствую слабость в правой руке и ноге. Мне стало тяжело подниматься по лестнице и усталость появляется очень быстро. Что касается других симптомов, то у меня не было головной боли, тошноты или рвоты. Это началось около недели назад, но к сожалению, мое состояние продолжает ухудшаться. У меня есть проблемы с давлением и я страдаю от диабета, так что мне сложно определить, может ли это быть связано с этим.",гастрит
"Добрый день. Я не чувствую себя хорошо. У меня проявляются сильные головные боли и головокружения. Я чувствую себя очень слабым и у меня затруднения с говорением. Также я заметил, что на одной стороне лица оно начало неметь. Я не замечал подобных симптомов раньше. Не было никаких переломов или травм. Я начал чувствовать себя нехорошо около часа назад. Я не имею хронических заболеваний.",инсульт
"Здравствуйте, я себя чувствую не очень хорошо. На моей коже появилась красная сыпь, которая начала распространяться по всему телу. Я также испытываю сильное приступы кашля, немного трудно мне дышать. У меня нет аппетита, я чувствую слабость и усталость. Меня начало это беспокоить несколько дней назад, а симптомы продолжают прогрессировать. Я не страдаю хроническими заболеваниями, которые могут быть связаны с моим текущим состоянием.",ангина
"Здравствуйте, я не очень хорошо себя чувствую. У меня болит живот и часто возникают тошнота и рвота. Несколько раз я замечал кровь в своих испражнениях. Также у меня часто бывают запоры и поносы. Но я не испытываю боли при мочеиспускании или головную боль. Симптомы начались несколько недель назад и ухудшаются с каждым днем. У меня есть проблемы с пищеварением, может быть, это связано с моим хроническим гастритом.",корь
"Добрый день, я пришел на прием, потому что себя плохо чувствую. У меня болит горло и сложно глотать. Температура тела немного повышена, есть общая слабость и усталость. Я начал замечать первые симптомы около трех дней назад, но не придавал этому большого значения. С тех пор мое состояние несколько ухудшилось. Мне кажется, что у меня раньше не было подобных проблем со здоровьем. Хронических заболеваний у меня нет. Я бы хотел, чтобы вы выяснили, что происходит со мной и как можно мне помочь. Спасибо.",ветрянка
"Здравствуйте, я пришел на первичный прием. Чувствую себя не очень хорошо - стало болеть ухо и часто появляются резкие боли. Помимо этого, иногда появляется слабость и головокружение. Не замечал никаких выделений из уха или нарушений слуха. Симптомы появились пару дней назад и прогрессируют, с каждым днем становится все хуже. Хронических заболеваний нет, но у меня был отит в прошлом. Хотел бы узнать, что со мной происходит и как можно помочь.",цистит
"Здравствуйте, я не могу точно сказать, что со мной не так, но я чувствую дискомфорт в области мочевого пузыря и часто хочу на туалет. Проявлялась легкая боль при мочеиспускании. Я не заметил никаких других симптомов, таких как температура или ощущение боли в пояснице. Я начал замечать первые симптомы несколько дней назад, но они стали более ощутимыми в последние дни. Я не страдаю хроническими заболеваниями, которые могут быть связаны с моим состоянием. Мне кажется, что мое состояние ухудшается, поэтому я пришел сюда для консультации и возможного лечения.",тахикардия
"Здравствуйте, я не очень хорошо себя чувствую. Начал замечать, что мое сердце чаще бьется, чем обычно. Иногда даже становится тяжело дышать. Это началось несколько недель назад, но с каждым днем симптомы усиливаются. На момент прихода к вам, я также стал замечать, что у меня бывают головокружения и небольшая слабость в теле. У меня нет проблем с давлением и не было травмы или инфекции, которые могли бы вызвать такие симптомы. У меня нет хронических заболеваний, которые я могу себе представить, что могут вызвать такое состояние. Я хотел бы узнать, что может быть причиной моих проблем и как можно это исправить?",отит
"Здравствуйте, я не совсем понимаю, что со мной происходит. Я никогда не болел ветрянкой, но сейчас чувствую себя не очень хорошо. У меня есть высыпания на коже, которые очень зудят и болят. Я также испытываю сильную усталость и головную боль. Но у меня нет никакой температуры и прочих симптомов. Высыпания начали появляться пару дней назад, но с тех пор они становятся все хуже и хуже. Я не знаю, может ли это быть связано с каким-то из моих хронических заболеваний, таких как аллергия или бронхиальная астма. Я никогда не чувствовал себя таким ранее и хотел бы получить помощь, чтобы вернуться к нормальной жизни.",анемия
"Здравствуйте, я себя чувствую довольно слабо и устало. Заметил, что часто начал задыхаться при физических нагрузках, причем недавно это происходит уже и при малейших усилиях. Стал замечать, что кожа у меня стала более бледной, а волосы и ногти - более хрупкими. Мне кажется, что я быстрее устаю, чем обычно, и мои мышцы иногда дрожат. Хотя я не заметил никаких болей или других сильных симптомов. Я не могу точно сказать, когда началась эта проблема, поскольку сначала я думал, что это просто усталость от работы, но теперь понимаю, что это может быть что-то большее. Мои хронические заболевания - пациенты гипертонической болезни и легкой формы сахарного диабета, но я не знаю, может ли это быть связано с моими нынешними симптомами.",гастрит
"Здравствуйте, я не совсем хорошо себя чувствую, у меня болит горло и трудно глотать. Температура у меня тоже высокая. Проявляется это уже несколько дней. Я не заметил, чтобы у меня была сильная боль в груди или проблемы с дыханием. У меня нет хронических заболеваний, которые могли бы повлиять на мое состояние.",инсульт
"Здравствуйте, я не очень хорошо себя чувствую, в ушах болит и слышу хуже, чем обычно. Симптомы появились несколько дней назад, и с тех пор не проходят. Не было головокружения или температуры. Я не страдаю хроническими заболеваниями, но в последнее время часто работал в помещении с кондиционером, может это как-то связано? Спасибо за помощь.",ангина
"Здравствуйте, я чувствую себя не очень хорошо. У меня были высокая температура, кашель, насморк и сильная слабость. Я также заметил красные пятна на коже и сильный зуд. У меня не было проблем с дыханием или болью в груди. Симптомы начали проявляться несколько дней назад и могут прогрессировать. У меня нет хронических заболеваний, которые могут быть связаны с этим, но я слышал, что корь может вызвать серьезные осложнения.",корь
"Здравствуйте, я пришел на прием, потому что не чувствую себя хорошо. У меня болит живот и постоянное желание писать. Я заметил, что моча стала мутной и иногда появляется кровь. Но у меня нет температуры и не было ощущения тошноты. Я заметил первые симптомы около недели назад, но думал, что все пройдет само собой. Однако симптомы не уменьшаются и мне стало хуже. У меня нет хронических заболеваний, которые могут быть связаны с моим состоянием.",ветрянка
"Здравствуйте, я чувствую себя не очень хорошо. Недавно начал замечать, что у меня стали возникать проблемы с речью и координацией движений. Кажется, что я стал забывать некоторые вещи и тяжелее концентрироваться на делах. Но при этом у меня не было головокружений или сильных головных болей. Я не уверен, но мне кажется, что это началось не так давно. Я раньше не сталкивался с подобными проблемами. Хотелось бы узнать, что может быть причиной моих симптомов и как мне помочь. У меня есть диабет и высокое давление, но они всегда были под контролем.",цистит
"Здравствуйте, я не чувствую себя совсем хорошо в последнее время. У меня бывают боли в животе после еды, отрыжка, тошнота и постоянное чувство голода. Некоторые продукты вызывают у меня еще большее недомогание. Однако у меня не было рвоты или кровавых выделений. Я не помню точно, когда начались эти симптомы, но они стали появляться все чаще в последние несколько недель. Я стараюсь следить за своим питанием, но это не всегда помогает. У меня нет хронических заболеваний, которые могут быть связаны с моим текущим состоянием.",тахикардия
"Добрый день, я чувствую себя не очень хорошо. Заметил, что у меня часто начинает биться сердце быстрее обычного, даже когда я не делаю никаких физических усилий. Чувствую некоторую дискомфорт в области груди. Заметил, что стал быстрее уставать и часто бывают приступы удушья. Однако, меня не беспокоят никакие боли в груди, рвота или тошнота. Симптомы начали проявляться несколько месяцев назад, но я не обращал на них внимания. В последнее время, мое состояние ухудшается и приступы тахикардии стали чаще. У меня нет никаких хронических заболеваний, которые могут быть связаны с этим.",отит
"Здравствуйте, я пришел на прием, потому что себя не очень хорошо чувствую. Начало было несколько дней назад, когда у меня появилась необычная сыпь на теле. Она стала распространяться быстро и зудеть, также я ощущаю небольшой дискомфорт и усталость. Но у меня нет повышенной температуры и головной боли. Это первый раз, когда у меня возникли подобные симптомы, и я не уверен, что это может быть. Я не страдаю хроническими заболеваниями, но мне кажется, что это может быть связано с недавней встречей с маленьким ребенком, который мог заразить меня чем-то. Я очень обеспокоен своим состоянием и надеюсь, что вы сможете помочь мне.",анемия
"Здравствуйте, я себя чувствую довольно слабо и устало в последнее время. Часто бывает, что я быстро утомляюсь даже от маленьких нагрузок и у меня порой кружится голова. Я заметил, что у меня снизилась работоспособность и я стал часто забывать вещи. Но я не испытываю болей и не наблюдаю высыпаний на коже или других необычных проявлений. Симптомы начали проявляться около месяца назад, но я не придавал этому большого значения, думал, что это просто усталость. В последнее время ухудшение моего состояния почти не заметно, но все же я чувствую себя не так, как раньше. У меня нет хронических заболеваний, которые могут быть связаны с моим состоянием.",гастрит
"Здравствуйте, я чувствую себя не очень хорошо. У меня были проблемы с головой и головокружения. Кроме того, я чувствую слабость в правой половине тела и затрудняюсь говорить. Не было тошноты или рвоты. Я заметил первые симптомы несколько часов назад, и с тех пор мое состояние постепенно ухудшалось. У меня есть хронические проблемы с давлением и сердцем, которые, возможно, могут быть связаны с моим состоянием.",инсульт
"Здравствуйте, я не могу точно сказать, что со мной не так, но я чувствую себя не очень хорошо. У меня часто быстрый сердцебиение и чувствую себя очень беспокойным. Ощущаю легкую головокружение и потливость. Мне кажется, что я не могу справляться с повседневными делами из-за этого. Симптомы начались недели две назад и, к сожалению, не проходят. Я не страдаю хроническими заболеваниями, которые могут быть связаны с моим состоянием. Буду рад, если вы сможете мне помочь разобраться в этом.",ангина
"Здравствуйте, я не чувствую себя хорошо. У меня болит горло и я испытываю трудности при глотании. Я заметил, что у меня повысилась температура тела и появилась слабость. Я также чувствую боль при давлении на шею и заметил, что мои гланды опухли. Я не заметил никаких признаков кашля или проблем с дыханием. Эти симптомы начали проявляться несколько дней назад и мое состояние не улучшается. У меня нет хронических заболеваний, которые могут быть связаны с этим.",корь
"Здравствуйте, я не чувствую себя хорошо. У меня есть сыпь на коже и кашель. Я также чувствую слабость и усталость. Я не замечал никаких других симптомов, кроме недавней появившейся температуры. Я думаю, что эти симптомы начали проявляться несколько дней назад. Мое состояние ухудшается, я стал еще более слабым и усталым с каждым днем. Я также хотел бы упомянуть, что у меня есть хронические проблемы со здоровьем, связанные с легкими.",ветрянка
"Здравствуйте, я пришел на прием, так как не чувствую себя хорошо. У меня болит ухо и я слышу хуже, чем обычно. Также я ощущаю дискомфорт и зуд внутри уха. Не было температуры и головной боли. Я заметил первые симптомы пару дней назад, а с течением времени эти ощущения только усиливались. Я не страдаю хроническими заболеваниями, поэтому не знаю, может ли это быть связано с чем-то таким. Я надеюсь, что вы сможете мне помочь выяснить, что со мной происходит и что мне делать дальше. Спасибо.",цистит
"Здравствуйте, я волнуюсь из-за своего здоровья. У меня не очень хорошее самочувствие и чувствую боль при мочеиспускании. Я также заметил частые посещения туалета и небольшую боль в нижней части живота. Хотел бы отметить, что у меня нет повышенной температуры, тошноты и рвоты. Симптомы начали проявляться несколько дней назад и, к сожалению, только усиливались. Я также страдаю хроническими заболеваниями почек и мочевыводящих путей. Буду благодарен за Вашу помощь.",тахикардия
"Здравствуйте, я пришел на первичный прием. Я чувствую себя довольно плохо, у меня болит желудок и часто возникает тошнота. Я заметил, что у меня ухудшился аппетит, и я часто чувствую жар внутри. С другой стороны, у меня не было рвоты или диареи, и я не заметил никаких кровавых выделений. Я начал ощущать эти симптомы около двух недель назад, и последние несколько дней мое состояние постепенно ухудшалось. Я раньше страдал от хронического гастрита, так что я думаю, что это может быть связано с моей болезнью. Буду благодарен, если вы сможете мне помочь.",отит
"Здравствуйте, я себя чувствую довольно слабо и устало уже несколько недель. Была постоянная головная боль и кратковременная потеря сознания. Я заметил, что у меня побледнела кожа и постоянно ощущается сильная слабость и утомляемость даже после небольших физических нагрузок. Но я не испытываю боль в животе и у меня нет проблем с аппетитом. С первых проявлений симптомов я решил обратиться к специалисту, так как с каждым днем мое состояние ухудшалось. Хочу также уточнить, что у меня есть хронические заболевания, такие как гипотиреоз и диабет, которые могут быть связаны с моим текущим состоянием.",анемия
"Здравствуйте. Я не совсем уверен, что со мной происходит, но я чувствую себя довольно плохо. Началось все с зуда на коже, и я заметил, что на моем теле появились красные пятна. С течением времени пятна стали превращаться в маленькие пузырьки, которые очень сильно зудят. Я также чувствую себя очень усталым и слабым. У меня нет никакой температуры, но я чувствую дискомфорт в горле. Я не могу точно сказать, когда начались первые симптомы, но я заметил их уже несколько дней назад. Мое состояние ухудшается с каждым днем, и я не знаю, что делать. У меня нет хронических заболеваний, которые могут быть связаны с этим, и я никогда не болел ветряной оспой раньше.",гастрит
